Pilar;Lance;Qtd (Qf);Bitola (mm);As Total (cm2);Chave
PAF43;5;4;16;8,042477193;PAF43|5
PAF43;6;8;16;16,08495439;PAF43|6
PAF43;7;6;32;48,25486316;PAF43|7
PAF43;8;8;32;64,33981755;PAF43|8
PAF44;5;4;12,5;4,908738521;PAF44|5
PAF44;6;4;12,5;4,908738521;PAF44|6
PAF44;7;10;12,5;12,2718463;PAF44|7
PAF44;8;6;32;48,25486316;PAF44|8
PAF45;5;4;12,5;4,908738521;PAF45|5
PAF45;6;4;12,5;4,908738521;PAF45|6
PAF45;7;6;12,5;7,363107782;PAF45|7
PAF45;8;8;25;39,26990817;PAF45|8
PAF46;6;8;20;25,13274123;PAF46|6
PAF46;7;10;16;20,10619298;PAF46|7
PAF46;8;10;16;20,10619298;PAF46|8
PAF47;6;10;16;20,10619298;PAF47|6
PAF47;7;10;16;20,10619298;PAF47|7
PAF47;8;8;25;39,26990817;PAF47|8
PAF48;6;8;25;39,26990817;PAF48|6
PAF48;7;8;25;39,26990817;PAF48|7
PAF48;8;6;25;29,45243113;PAF48|8
PAF49;6;8;16;16,08495439;PAF49|6
PAF49;7;8;16;16,08495439;PAF49|7
PAF49;8;8;32;64,33981755;PAF49|8
