Pilar;Lance;Qtd(Qf);Bitola(mm);As Total (cm2)
P1;6;24;12.5;29.45
P1;7;24;12.5;29.45
P10;6;18;16;36.19
P10;7;18;16;36.19
P11;6;10;12.5;12.27
P11;7;10;12.5;12.27
P12;6;12;16;24.13
P12;7;12;16;24.13
P16;6;24;25;117.81
P16;7;24;25;117.81
P17;6;20;25;98.17
P17;7;18;25;88.36
P19;6;18;12.5;22.09
P19;7;18;12.5;22.09
P2;6;22;12.5;27.00
P2;7;22;12.5;27.00
P20;6;24;20;75.40
P20;7;20;20;62.83
P3;6;12;12.5;14.73
P3;7;12;12.5;14.73
P30;6;24;20;75.40
P30;7;20;20;62.83
P34;6;24;25;117.81
P34;7;24;25;117.81
P35;6;20;25;98.17
P35;7;18;25;88.36
P39;6;10;12.5;12.27
P39;7;10;12.5;12.27
P4;6;30;12.5;36.82
P4;7;30;12.5;36.82
P5;6;18;16;36.19
P5;7;18;16;36.19
P6;6;14;25;68.72
P6;7;14;25;68.72
P7;6;24;20;75.40
P7;7;24;20;75.40
P8;6;24;20;75.40
P8;7;24;20;75.40
P9;6;20;25;98.17
P9;7;20;20;62.83
