Pilar;Lance;Qtd(Qf);Bitola(mm);As Total (cm2)
P121;6;10;12.5;12.27
P121;7;10;12.5;12.27
P122;6;26;12.5;31.91
P122;7;26;12.5;31.91
P123;6;18;12.5;22.09
P123;7;18;12.5;22.09
P124;6;10;12.5;12.27
P124;7;10;12.5;12.27
P125;6;10;12.5;12.27
P125;7;10;12.5;12.27
P126;6;10;12.5;12.27
P126;7;10;12.5;12.27
P129;6;12;16;24.13
P129;7;10;12.5;12.27
P130;6;10;12.5;12.27
P130;7;10;12.5;12.27
P131;6;14;12.5;17.18
P131;7;14;12.5;17.18
P132;6;14;16;28.15
P132;7;14;16;28.15
P133;6;10;12.5;12.27
P133;7;10;12.5;12.27
P135;6;26;12.5;31.91
P135;7;26;12.5;31.91
P137;6;8;12.5;9.82
P137;7;8;12.5;9.82
P138;6;12;12.5;14.73
P138;7;12;12.5;14.73
P139;6;12;12.5;14.73
P139;7;12;12.5;14.73
P140;6;8;12.5;9.82
P140;7;8;12.5;9.82
P141;6;8;12.5;9.82
P141;7;8;12.5;9.82
P142;6;10;12.5;12.27
P142;7;10;12.5;12.27
P144;6;8;12.5;9.82
P144;7;8;12.5;9.82
P145;6;8;12.5;9.82
P145;7;8;12.5;9.82
P148;6;14;12.5;17.18
P148;7;14;12.5;17.18
P149;6;8;12.5;9.82
P149;7;8;12.5;9.82
P150;6;8;12.5;9.82
P150;7;8;12.5;9.82
P152;6;14;16;28.15
P152;7;14;16;28.15
P155;6;10;12.5;12.27
P155;7;10;12.5;12.27
P159;6;8;12.5;9.82
P159;7;8;12.5;9.82
P179;6;8;12.5;9.82
P179;7;8;12.5;9.82
P181;6;8;12.5;9.82
P181;7;8;12.5;9.82
P184;6;8;12.5;9.82
P184;7;8;12.5;9.82
P185;6;8;12.5;9.82
P185;7;8;12.5;9.82
